Title	Subtitle	Author(s)	ISBN Code	Published Date	Length	Language	Memo	Desciption	Image(URL)
									
			9788532261403						
Traçando Porto Alegre		Luís Fernando Veríssimo. Joaquim da Fonseca	9788585418250	1994	143	pt-BR			http://books.google.com/books/content?id=1vYrAAAAYAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
Os segredos de uma encantadora de bebês	como acalmar. relacionar-se e comunicar-se com o seu bebê	Tracy Hogg. Melinda Blau	9788520413500	2002	318	pt-BR		Um livro prático repleto de programas de educação que ajudam os pais a lidar com seu bebê respeitando seus horários e suas vontades. O livro 'Os Segredos de uma Encantadora de Bebês' mostra como reconhecer os sinais de seu bebê decifrando do que ele precisa. nutrindo assim suas necessidades com rapidez.	
			9788502067813						
Direito Ambiental - Questoes Comentadas - Serie Concursos Publicos			9788530931728						
Estou grávida. E agora?	confidências à nova mãe	Lorraine C. Ladish	9788576651680	2006	302	pt-BR		"A partir da notícia de que você está grávida. desde sua sogra até a faxineira vão lhe encher os ouvidos com todo o tipo de conselhos e histórias sobre gestações e partos. Este livro pretende prepara-la para enfrentar essas situações e responder suas dúvidas secretas. que talvez você só se atreva a confessar a sua melhor amiga - que nem sempre tem a solução. O livro traz os seguintes temas - A gravidez - Estou grávida!. A longa espera. Perdi a cabeça!.Como enfrentar as possíveis complicações. A reta final; A maternidade - Já sou mãe!. A euforia inicial e a melancolia pós-parto. Companheiro. e agora também pai. Os desafios do primeiro ano. O segundo ano - De bebê a 'ser andante'; Você já é veterana - Mãe. mas antes de tudo. mulher. E o irmãozinho. para quando é?.Outros tipos de maternidade; Epílogo; Livros recomendados."	
			9788581303437						
			9788525409935						
			9788580573176						
Os arquivos do semideus		Rick Riordan	9788598078892	2011-12-15	165	pt-BR		Atenção jovens semideuses: preparem-se para ter acesso a arquivos altamente sigilosos. Compilado pelo escriba sênior do Acampamento Meio-Sangue. o sr. Rick Riordan. o conteúdo supersecreto apresentado em Os arquivos do semideus inclui os relatórios de três das mais perigosas aventuras de Percy Jackson. informações valiosas conseguidas em entrevistas com os mais importantes heróis da saga. um utilíssimo mapa do acampamento e muito. muito mais. Leiam e tornem-se especialistas no universo dos deuses e heróis do Olimpo.	
Bebidas e excitantes		Fernand Braudel	9789726952831	1997	90	pt-BR			
Crianças Indigo - A Evoluçao Do Ser Humano 			9788590219224						
			9788562215025						
A Lei Universal Da Atração. Aprendendo A Conquistar O Que Você Deseja			9788575423011						
